"GEOGRAPHY_NAME","GEOGRAPHY_CODE","AGE_NAME","OBS_VALUE"
"Blakelaw","E36006676","Aged 25-29",50
"Byker","E36006677","Aged 16-24",160
"Byker","E36006677","Aged 25-29",115
"Castle","E36006678","Aged 16-24",35
"Castle","E36006678","Aged 25-29",25
"Dene","E36006679","Aged 16-24",20
"Dene","E36006679","Aged 25-29",10
"Denton","E36006680","Aged 16-24",65
"Denton","E36006680","Aged 25-29",45
"East Gosforth","E36006681","Aged 16-24",10
"East Gosforth","E36006681","Aged 25-29",15
"Elswick","E36006682","Aged 16-24",135
"Elswick","E36006682","Aged 25-29",125
"Fawdon","E36006683","Aged 16-24",80
"Fawdon","E36006683","Aged 25-29",45
"Fenham","E36006684","Aged 16-24",45
"Fenham","E36006684","Aged 25-29",45
"Kenton","E36006685","Aged 16-24",80
"Kenton","E36006685","Aged 25-29",55
"Lemington","E36006686","Aged 16-24",65
"Lemington","E36006686","Aged 25-29",35
"Newburn","E36006687","Aged 16-24",55
"Newburn","E36006687","Aged 25-29",40
"North Heaton","E36006688","Aged 16-24",15
"North Heaton","E36006688","Aged 25-29",20
"North Jesmond","E36006689","Aged 16-24",15
"North Jesmond","E36006689","Aged 25-29",0
"Ouseburn","E36006690","Aged 16-24",55
"Ouseburn","E36006690","Aged 25-29",55
"Parklands","E36006691","Aged 16-24",10
"Parklands","E36006691","Aged 25-29",5
"South Heaton","E36006692","Aged 16-24",55
"South Heaton","E36006692","Aged 25-29",50
"South Jesmond","E36006693","Aged 16-24",25
"South Jesmond","E36006693","Aged 25-29",25
"Walker","E36006694","Aged 16-24",150
"Walker","E36006694","Aged 25-29",105
"Walkergate","E36006695","Aged 16-24",65
"Walkergate","E36006695","Aged 25-29",50
"West Gosforth","E36006696","Aged 16-24",30
"West Gosforth","E36006696","Aged 25-29",5
"Westerhope","E36006697","Aged 16-24",25
"Westerhope","E36006697","Aged 25-29",15
"Westgate","E36006698","Aged 16-24",100
"Westgate","E36006698","Aged 25-29",65
"Wingrove","E36006699","Aged 16-24",85
"Wingrove","E36006699","Aged 25-29",100
"Woolsington","E36006700","Aged 16-24",75
"Woolsington","E36006700","Aged 25-29",65
"Battle Hill","E36006701","Aged 16-24",65
"Battle Hill","E36006701","Aged 25-29",30
